purchase_time,total
2017-03-03,72
2017-05-13,72
2017-04-18,71
2017-04-09,71
2017-02-14,71
2017-03-05,70
2017-03-31,70
2017-03-11,70
2018-08-25,69
2017-04-30,68
2017-03-02,68
2017-02-02,68
2017-04-21,67
2017-04-01,67
2017-01-31,67
2017-02-04,66
2018-08-27,66
2017-02-01,66
2017-04-08,66
2017-03-17,65
2017-04-02,65
2017-02-10,65
2017-03-26,64
2017-04-17,64
2017-03-12,63
2017-02-20,62
2017-01-25,62
2017-02-12,62
2017-04-12,62
2017-02-24,62
2017-01-27,61
2017-02-15,60
2017-04-13,60
2017-02-23,59
2017-12-24,58
2016-10-04,58
2017-02-22,58
2017-02-03,56
2017-03-19,56
2017-02-28,54
2017-04-15,52
2017-02-18,52
2017-01-30,51
2017-04-14,51
2017-02-16,50
2017-04-16,49
2016-10-06,46
2017-02-11,45
2017-02-17,45
2017-02-26,45
2016-10-07,43
2017-02-25,42
2016-10-05,42
2017-02-27,42
2017-02-21,41
2017-02-19,40
2017-01-24,40
2017-01-23,39
2018-08-28,39
2016-10-08,38
2016-10-10,37
2017-06-21,35
2017-01-29,35
2017-01-18,33
2017-01-17,32
2017-01-05,32
2017-01-22,30
2017-01-19,29
2017-01-28,29
2017-01-20,28
2017-01-21,24
2016-10-09,22
2017-01-16,19
2017-01-14,18
2017-01-15,14
2017-01-12,13
2018-08-29,11
2017-01-11,11
2017-01-13,11
2016-10-03,7
2017-01-10,6
2017-01-08,6
2017-01-09,5
2017-01-07,4
2017-01-06,4
2016-09-04,1
2016-09-15,1
2016-12-23,1
2018-09-03,1
